method,r,feature_id,prompt_idx,judge_coherence,judge_concept
PDS,0.4,9631,29,35.0,0.0
PDS,0.4,9631,31,10.0,0.0
PDS,0.6,9631,9,35.0,50.0
PDS,0.6,9631,10,15.0,0.0
PDS,0.6,9631,12,15.0,0.0
PDS,0.6,9631,19,15.0,0.0
PDS,0.6,9631,25,15.0,0.0
PDS,0.6,9631,28,0.0,0.0
PDS,0.6,9631,29,35.0,10.0
PDS,0.6,9631,31,5.0,45.0
PDS,0.8,9631,9,5.0,20.0
PDS,0.8,9631,10,5.0,20.0
PDS,0.8,9631,12,5.0,0.0
PDS,0.8,9631,19,5.0,10.0
PDS,0.8,9631,25,5.0,0.0
PDS,0.8,9631,28,5.0,20.0
PDS,0.8,9631,29,5.0,0.0
PDS,0.8,9631,31,5.0,30.0
PDS,0.2,11244,9,85.0,85.0
PDS,0.2,11244,10,15.0,50.0
PDS,0.2,11244,12,45.0,0.0
PDS,0.2,11244,19,15.0,60.0
PDS,0.2,11244,25,45.0,0.0
PDS,0.2,11244,28,50.0,85.0
PDS,0.2,11244,29,45.0,0.0
PDS,0.2,11244,31,45.0,0.0
PDS,0.4,11244,9,45.0,50.0
PDS,0.4,11244,10,45.0,50.0
PDS,0.4,11244,12,15.0,85.0
PDS,0.4,11244,19,10.0,30.0
PDS,0.4,11244,25,45.0,50.0
PDS,0.4,11244,28,0.0,100.0
PDS,0.4,11244,29,10.0,65.0
PDS,0.4,11244,31,10.0,95.0
PDS,0.6,11244,9,15.0,75.0
PDS,0.6,11244,10,25.0,0.0
PDS,0.6,11244,12,5.0,20.0
PDS,0.6,11244,19,5.0,50.0
PDS,0.6,11244,25,5.0,50.0
PDS,0.6,11244,28,50.0,100.0
PDS,0.6,11244,29,5.0,75.0
PDS,0.6,11244,31,5.0,65.0
PDS,0.8,11244,9,10.0,40.0
PDS,0.8,11244,10,5.0,40.0
PDS,0.8,11244,12,5.0,30.0
PDS,0.8,11244,19,5.0,0.0
PDS,0.8,11244,25,0.0,30.0
PDS,0.8,11244,28,0.0,0.0
PDS,0.8,11244,29,5.0,40.0
PDS,0.8,11244,31,5.0,65.0
PDS,0.2,11594,9,45.0,0.0
PDS,0.2,11594,10,45.0,0.0
PDS,0.2,11594,12,35.0,0.0
PDS,0.2,11594,19,45.0,0.0
PDS,0.2,11594,25,20.0,0.0
PDS,0.2,11594,28,50.0,0.0
PDS,0.2,11594,29,45.0,0.0
PDS,0.2,11594,31,35.0,50.0
PDS,0.4,11594,9,25.0,50.0
PDS,0.4,11594,10,45.0,0.0
PDS,0.4,11594,12,45.0,0.0
PDS,0.4,11594,19,45.0,0.0
PDS,0.4,11594,25,10.0,0.0
PDS,0.4,11594,28,15.0,50.0
PDS,0.4,11594,29,45.0,0.0
PDS,0.4,11594,31,5.0,50.0
PDS,0.6,11594,9,15.0,85.0
PDS,0.6,11594,10,5.0,50.0
PDS,0.6,11594,12,5.0,50.0
PDS,0.6,11594,19,15.0,0.0
PDS,0.6,11594,25,5.0,65.0
PDS,0.6,11594,28,5.0,65.0
PDS,0.6,11594,29,5.0,90.0
PDS,0.6,11594,31,5.0,50.0
PDS,0.8,11594,9,5.0,75.0
PDS,0.8,11594,10,5.0,65.0
PDS,0.8,11594,12,5.0,40.0
PDS,0.8,11594,19,5.0,50.0
PDS,0.8,11594,25,5.0,65.0
PDS,0.8,11594,28,5.0,75.0
PDS,0.8,11594,29,5.0,50.0
PDS,0.8,11594,31,5.0,65.0
PDS,0.2,11801,9,65.0,0.0
PDS,0.2,11801,10,20.0,85.0
PDS,0.2,11801,12,35.0,50.0
PDS,0.2,11801,19,20.0,0.0
PDS,0.2,11801,25,30.0,50.0
PDS,0.2,11801,28,45.0,0.0
PDS,0.2,11801,29,45.0,0.0
PDS,0.2,11801,31,10.0,50.0
PDS,0.4,11801,9,45.0,0.0
PDS,0.4,11801,10,25.0,75.0
PDS,0.4,11801,12,15.0,65.0
PDS,0.4,11801,19,25.0,65.0
PDS,0.4,11801,25,25.0,50.0
PDS,0.4,11801,28,25.0,75.0
PDS,0.4,11801,29,25.0,85.0
PDS,0.4,11801,31,15.0,50.0
PDS,0.6,11801,9,15.0,0.0
PDS,0.6,11801,10,5.0,50.0
PDS,0.6,11801,12,5.0,50.0
PDS,0.6,11801,19,5.0,0.0
PDS,0.6,11801,25,5.0,0.0
PDS,0.6,11801,28,5.0,65.0
PDS,0.6,11801,29,0.0,50.0
PDS,0.6,11801,31,5.0,50.0
PDS,0.8,11801,9,5.0,0.0
PDS,0.8,11801,10,0.0,0.0
PDS,0.8,11801,12,0.0,50.0
PDS,0.8,11801,19,0.0,50.0
PDS,0.8,11801,25,0.0,0.0
PDS,0.8,11801,28,0.0,0.0
PDS,0.8,11801,29,0.0,0.0
PDS,0.8,11801,31,5.0,50.0
PDS,0.2,15125,9,45.0,50.0
PDS,0.2,15125,10,35.0,0.0
PDS,0.2,15125,12,35.0,0.0
PDS,0.2,15125,19,45.0,0.0
PDS,0.2,15125,25,30.0,0.0
PDS,0.2,15125,28,30.0,50.0
PDS,0.2,15125,29,45.0,0.0
PDS,0.2,15125,31,10.0,65.0
PDS,0.4,15125,9,35.0,75.0
PDS,0.4,15125,10,5.0,65.0
PDS,0.4,15125,12,5.0,85.0
PDS,0.4,15125,19,35.0,65.0
PDS,0.4,15125,25,35.0,40.0
PDS,0.4,15125,28,5.0,0.0
PDS,0.4,15125,29,35.0,50.0
PDS,0.4,15125,31,5.0,65.0
PDS,0.6,15125,9,5.0,0.0
PDS,0.6,15125,10,5.0,40.0
PDS,0.6,15125,12,5.0,65.0
PDS,0.6,15125,19,5.0,40.0
PDS,0.6,15125,25,5.0,40.0
PDS,0.6,15125,28,5.0,65.0
PDS,0.6,15125,29,5.0,40.0
PDS,0.6,15125,31,5.0,75.0
PDS,0.8,15125,9,5.0,30.0
PDS,0.8,15125,10,0.0,40.0
PDS,0.8,15125,12,0.0,0.0
PDS,0.8,15125,19,0.0,40.0
PDS,0.8,15125,25,5.0,0.0
PDS,0.8,15125,28,0.0,40.0
PDS,0.8,15125,29,0.0,0.0
PDS,0.8,15125,31,0.0,0.0
PDS,0.2,27704,9,45.0,0.0
PDS,0.2,27704,10,35.0,0.0
PDS,0.2,27704,12,35.0,0.0
PDS,0.2,27704,19,45.0,0.0
PDS,0.2,27704,25,45.0,0.0
PDS,0.2,27704,28,35.0,0.0
PDS,0.2,27704,29,45.0,0.0
PDS,0.2,27704,31,25.0,0.0
PDS,0.4,27704,9,35.0,0.0
PDS,0.4,27704,10,15.0,0.0
PDS,0.4,27704,12,25.0,0.0
PDS,0.4,27704,19,45.0,0.0
PDS,0.4,27704,25,45.0,0.0
PDS,0.4,27704,28,5.0,50.0
PDS,0.4,27704,29,30.0,50.0
PDS,0.4,27704,31,15.0,0.0
PDS,0.6,27704,9,5.0,0.0
PDS,0.6,27704,10,15.0,0.0
PDS,0.6,27704,12,15.0,30.0
PDS,0.6,27704,19,5.0,0.0
PDS,0.6,27704,25,35.0,0.0
PDS,0.6,27704,28,0.0,0.0
PDS,0.6,27704,29,35.0,65.0
PDS,0.6,27704,31,5.0,0.0
PDS,0.8,27704,9,5.0,0.0
PDS,0.8,27704,10,10.0,0.0
PDS,0.8,27704,12,5.0,0.0
PDS,0.8,27704,19,5.0,0.0
PDS,0.8,27704,25,15.0,0.0
PDS,0.8,27704,28,5.0,0.0
PDS,0.8,27704,29,5.0,0.0
PDS,0.8,27704,31,5.0,0.0
PDS,0.2,31781,9,45.0,0.0
PDS,0.2,31781,10,45.0,50.0
PDS,0.2,31781,12,45.0,0.0
PDS,0.2,31781,19,20.0,0.0
PDS,0.2,31781,25,10.0,0.0
PDS,0.2,31781,28,5.0,0.0
PDS,0.2,31781,29,45.0,20.0
PDS,0.2,31781,31,30.0,0.0
PDS,0.4,31781,9,45.0,0.0
PDS,0.4,31781,10,15.0,0.0
PDS,0.4,31781,12,20.0,0.0
PDS,0.4,31781,19,20.0,0.0
PDS,0.4,31781,25,45.0,0.0
PDS,0.4,31781,28,10.0,0.0
PDS,0.4,31781,29,20.0,0.0
PDS,0.4,31781,31,15.0,0.0
PDS,0.6,31781,9,5.0,0.0
PDS,0.6,31781,10,15.0,0.0
PDS,0.6,31781,12,5.0,0.0
PDS,0.6,31781,19,5.0,0.0
PDS,0.6,31781,25,15.0,0.0
PDS,0.6,31781,28,5.0,0.0
PDS,0.6,31781,29,15.0,0.0
PDS,0.6,31781,31,15.0,0.0
PDS,0.8,31781,9,5.0,0.0
PDS,0.8,31781,10,0.0,0.0
PDS,0.8,31781,12,15.0,0.0
PDS,0.8,31781,19,5.0,0.0
PDS,0.8,31781,25,5.0,0.0
PDS,0.8,31781,28,5.0,0.0
PDS,0.8,31781,29,5.0,0.0
PDS,0.8,31781,31,5.0,50.0
PDS,0.2,34786,9,45.0,75.0
PDS,0.2,34786,10,45.0,85.0
PDS,0.2,34786,12,45.0,0.0
PDS,0.2,34786,19,45.0,0.0
PDS,0.2,34786,25,45.0,65.0
PDS,0.2,34786,28,25.0,65.0
PDS,0.2,34786,29,45.0,0.0
PDS,0.2,34786,31,50.0,50.0
PDS,0.4,34786,9,35.0,75.0
PDS,0.4,34786,10,5.0,50.0
PDS,0.4,34786,12,5.0,65.0
PDS,0.4,34786,19,5.0,50.0
PDS,0.4,34786,25,5.0,50.0
PDS,0.4,34786,28,15.0,65.0
PDS,0.4,34786,29,25.0,0.0
PDS,0.4,34786,31,5.0,50.0
PDS,0.6,34786,9,45.0,75.0
PDS,0.6,34786,10,5.0,50.0
PDS,0.6,34786,12,5.0,50.0
PDS,0.6,34786,19,5.0,20.0
PDS,0.6,34786,25,5.0,0.0
PDS,0.6,34786,28,5.0,0.0
PDS,0.6,34786,29,5.0,50.0
PDS,0.6,34786,31,5.0,50.0
PDS,0.8,34786,9,5.0,20.0
PDS,0.8,34786,10,0.0,0.0
PDS,0.8,34786,12,5.0,50.0
PDS,0.8,34786,19,5.0,0.0
PDS,0.8,34786,25,5.0,0.0
PDS,0.8,34786,28,5.0,0.0
PDS,0.8,34786,29,5.0,0.0
PDS,0.8,34786,31,5.0,0.0
PDS,0.2,38036,9,85.0,0.0
PDS,0.2,38036,10,45.0,0.0
PDS,0.2,38036,12,35.0,0.0
PDS,0.2,38036,19,35.0,0.0
PDS,0.2,38036,25,20.0,0.0
PDS,0.2,38036,28,30.0,0.0
PDS,0.2,38036,29,45.0,0.0
PDS,0.2,38036,31,35.0,0.0
PDS,0.4,38036,9,5.0,20.0
PDS,0.4,38036,10,10.0,0.0
PDS,0.4,38036,12,5.0,50.0
PDS,0.4,38036,19,50.0,50.0
PDS,0.4,38036,25,50.0,0.0
PDS,0.4,38036,28,5.0,0.0
PDS,0.4,38036,29,30.0,0.0
PDS,0.4,38036,31,5.0,0.0
PDS,0.6,38036,9,5.0,5.0
PDS,0.6,38036,10,5.0,0.0
PDS,0.6,38036,12,15.0,0.0
PDS,0.6,38036,19,5.0,0.0
PDS,0.6,38036,25,5.0,0.0
PDS,0.6,38036,28,0.0,0.0
PDS,0.6,38036,29,0.0,0.0
PDS,0.6,38036,31,5.0,0.0
PDS,0.8,38036,9,0.0,0.0
PDS,0.8,38036,10,0.0,0.0
PDS,0.8,38036,12,0.0,0.0
PDS,0.8,38036,19,0.0,0.0
PDS,0.8,38036,25,5.0,0.0
PDS,0.8,38036,28,0.0,0.0
PDS,0.8,38036,29,0.0,0.0
PDS,0.8,38036,31,0.0,0.0
PDS,0.2,38773,9,45.0,0.0
PDS,0.2,38773,10,30.0,50.0
PDS,0.2,38773,12,45.0,0.0
PDS,0.2,38773,19,45.0,0.0
PDS,0.2,38773,25,20.0,0.0
PDS,0.2,38773,28,45.0,30.0
PDS,0.2,38773,29,45.0,0.0
PDS,0.2,38773,31,20.0,0.0
PDS,0.4,38773,9,45.0,60.0
PDS,0.4,38773,10,15.0,95.0
PDS,0.4,38773,12,5.0,50.0
PDS,0.4,38773,19,5.0,65.0
PDS,0.4,38773,25,35.0,0.0
PDS,0.4,38773,28,10.0,30.0
PDS,0.4,38773,29,35.0,0.0
PDS,0.4,38773,31,25.0,40.0
PDS,0.6,38773,9,15.0,50.0
PDS,0.6,38773,10,15.0,0.0
PDS,0.6,38773,12,15.0,50.0
PDS,0.6,38773,19,15.0,65.0
PDS,0.6,38773,25,25.0,0.0
PDS,0.6,38773,28,10.0,30.0
PDS,0.6,38773,29,20.0,65.0
PDS,0.6,38773,31,5.0,0.0
PDS,0.8,38773,9,10.0,50.0
PDS,0.8,38773,10,5.0,10.0
PDS,0.8,38773,12,5.0,0.0
PDS,0.8,38773,19,5.0,0.0
PDS,0.8,38773,25,5.0,40.0
PDS,0.8,38773,28,5.0,0.0
PDS,0.8,38773,29,5.0,0.0
PDS,0.8,38773,31,5.0,0.0
PDS,0.2,40033,9,45.0,0.0
PDS,0.2,40033,10,45.0,50.0
PDS,0.2,40033,12,25.0,10.0
PDS,0.2,40033,19,35.0,0.0
PDS,0.2,40033,25,50.0,0.0
PDS,0.2,40033,28,45.0,0.0
PDS,0.2,40033,29,50.0,0.0
PDS,0.2,40033,31,15.0,0.0
PDS,0.4,40033,9,45.0,50.0
PDS,0.4,40033,10,10.0,50.0
PDS,0.4,40033,12,15.0,35.0
PDS,0.4,40033,19,15.0,0.0
PDS,0.4,40033,25,5.0,30.0
PDS,0.4,40033,28,35.0,40.0
PDS,0.4,40033,29,45.0,0.0
PDS,0.4,40033,31,50.0,0.0
PDS,0.6,40033,9,5.0,0.0
PDS,0.6,40033,10,5.0,45.0
PDS,0.6,40033,12,5.0,30.0
PDS,0.6,40033,19,5.0,0.0
PDS,0.6,40033,25,5.0,0.0
PDS,0.6,40033,28,0.0,0.0
PDS,0.6,40033,29,0.0,30.0
PDS,0.6,40033,31,5.0,5.0
PDS,0.8,40033,9,5.0,50.0
PDS,0.8,40033,10,5.0,30.0
PDS,0.8,40033,12,5.0,20.0
PDS,0.8,40033,19,5.0,0.0
PDS,0.8,40033,25,5.0,0.0
PDS,0.8,40033,28,0.0,30.0
PDS,0.8,40033,29,5.0,30.0
PDS,0.8,40033,31,5.0,10.0
PDS,0.2,40968,9,85.0,50.0
PDS,0.2,40968,10,35.0,0.0
PDS,0.2,40968,12,15.0,0.0
PDS,0.2,40968,19,45.0,0.0
PDS,0.2,40968,25,95.0,0.0
PDS,0.2,40968,28,35.0,0.0
PDS,0.2,40968,29,45.0,0.0
PDS,0.2,40968,31,45.0,10.0
PDS,0.4,40968,9,45.0,95.0
PDS,0.4,40968,10,15.0,50.0
PDS,0.4,40968,12,10.0,40.0
PDS,0.4,40968,19,10.0,65.0
PDS,0.4,40968,25,15.0,50.0
PDS,0.4,40968,28,15.0,85.0
PDS,0.4,40968,29,20.0,65.0
PDS,0.4,40968,31,5.0,50.0
PDS,0.6,40968,9,15.0,90.0
PDS,0.6,40968,10,5.0,40.0
PDS,0.6,40968,12,5.0,40.0
PDS,0.6,40968,19,5.0,0.0
PDS,0.6,40968,25,5.0,85.0
PDS,0.6,40968,28,5.0,65.0
PDS,0.6,40968,29,15.0,85.0
PDS,0.6,40968,31,5.0,65.0
PDS,0.8,40968,9,5.0,50.0
PDS,0.8,40968,10,5.0,50.0
PDS,0.8,40968,12,0.0,30.0
PDS,0.8,40968,19,5.0,40.0
PDS,0.8,40968,25,0.0,0.0
PDS,0.8,40968,28,5.0,85.0
PDS,0.8,40968,29,5.0,40.0
PDS,0.8,40968,31,0.0,30.0
PDS,0.2,43719,9,45.0,65.0
PDS,0.2,43719,10,45.0,100.0
PDS,0.2,43719,12,45.0,30.0
PDS,0.2,43719,19,75.0,0.0
PDS,0.2,43719,25,20.0,100.0
PDS,0.2,43719,28,25.0,50.0
PDS,0.2,43719,29,50.0,65.0
PDS,0.2,43719,31,15.0,50.0
PDS,0.4,43719,9,15.0,0.0
PDS,0.4,43719,10,5.0,50.0
PDS,0.4,43719,12,5.0,75.0
PDS,0.4,43719,19,5.0,0.0
PDS,0.4,43719,25,35.0,0.0
PDS,0.4,43719,28,5.0,50.0
PDS,0.4,43719,29,10.0,50.0
PDS,0.4,43719,31,15.0,50.0
PDS,0.6,43719,9,0.0,65.0
PDS,0.6,43719,10,0.0,50.0
PDS,0.6,43719,12,5.0,65.0
PDS,0.6,43719,19,0.0,50.0
PDS,0.6,43719,25,5.0,65.0
PDS,0.6,43719,28,0.0,50.0
PDS,0.6,43719,29,0.0,65.0
PDS,0.6,43719,31,0.0,0.0
PDS,0.8,43719,9,0.0,50.0
PDS,0.8,43719,10,0.0,85.0
PDS,0.8,43719,12,0.0,0.0
PDS,0.8,43719,19,0.0,0.0
PDS,0.8,43719,25,0.0,40.0
PDS,0.8,43719,28,0.0,0.0
PDS,0.8,43719,29,0.0,50.0
PDS,0.8,43719,31,0.0,65.0
PDS,0.2,43823,9,45.0,85.0
PDS,0.2,43823,10,35.0,0.0
PDS,0.2,43823,12,65.0,0.0
PDS,0.2,43823,19,45.0,0.0
PDS,0.2,43823,25,45.0,100.0
PDS,0.2,43823,28,50.0,0.0
PDS,0.2,43823,29,45.0,0.0
PDS,0.2,43823,31,20.0,0.0
PDS,0.4,43823,9,45.0,50.0
PDS,0.4,43823,10,45.0,50.0
PDS,0.4,43823,12,45.0,0.0
PDS,0.4,43823,19,35.0,50.0
PDS,0.4,43823,25,15.0,75.0
PDS,0.4,43823,28,50.0,50.0
PDS,0.4,43823,29,45.0,0.0
PDS,0.4,43823,31,45.0,85.0
PDS,0.6,43823,9,15.0,50.0
PDS,0.6,43823,10,45.0,85.0
PDS,0.6,43823,12,5.0,0.0
PDS,0.6,43823,19,5.0,50.0
PDS,0.6,43823,25,25.0,50.0
PDS,0.6,43823,28,10.0,50.0
PDS,0.6,43823,29,25.0,85.0
PDS,0.6,43823,31,10.0,0.0
PDS,0.8,43823,9,25.0,0.0
PDS,0.8,43823,10,5.0,0.0
PDS,0.8,43823,12,5.0,0.0
PDS,0.8,43823,19,5.0,0.0
PDS,0.8,43823,25,25.0,0.0
PDS,0.8,43823,28,5.0,0.0
PDS,0.8,43823,29,10.0,0.0
PDS,0.8,43823,31,15.0,65.0
PDS,0.2,44502,9,20.0,50.0
PDS,0.2,44502,10,35.0,85.0
PDS,0.2,44502,12,85.0,0.0
PDS,0.2,44502,19,35.0,0.0
PDS,0.2,44502,25,35.0,95.0
PDS,0.2,44502,28,45.0,85.0
PDS,0.2,44502,29,20.0,60.0
PDS,0.2,44502,31,10.0,50.0
PDS,0.4,44502,9,45.0,85.0
PDS,0.4,44502,10,30.0,50.0
PDS,0.4,44502,12,5.0,65.0
PDS,0.4,44502,19,5.0,50.0
PDS,0.4,44502,25,5.0,65.0
PDS,0.4,44502,28,5.0,85.0
PDS,0.4,44502,29,5.0,85.0
PDS,0.4,44502,31,5.0,50.0
PDS,0.6,44502,9,10.0,85.0
PDS,0.6,44502,10,5.0,0.0
PDS,0.6,44502,12,5.0,50.0
PDS,0.6,44502,19,0.0,50.0
PDS,0.6,44502,25,5.0,85.0
PDS,0.6,44502,28,5.0,65.0
PDS,0.6,44502,29,10.0,65.0
PDS,0.6,44502,31,5.0,50.0
PDS,0.8,44502,9,5.0,85.0
PDS,0.8,44502,10,0.0,30.0
PDS,0.8,44502,12,5.0,50.0
PDS,0.8,44502,19,5.0,40.0
PDS,0.8,44502,25,5.0,40.0
PDS,0.8,44502,28,5.0,65.0
PDS,0.8,44502,29,5.0,65.0
PDS,0.8,44502,31,5.0,50.0
PDS,0.2,45239,9,45.0,0.0
PDS,0.2,45239,10,15.0,0.0
PDS,0.2,45239,12,35.0,10.0
PDS,0.2,45239,19,45.0,0.0
PDS,0.2,45239,25,50.0,0.0
PDS,0.2,45239,28,15.0,0.0
PDS,0.2,45239,29,65.0,0.0
PDS,0.2,45239,31,15.0,0.0
PDS,0.4,45239,9,35.0,0.0
PDS,0.4,45239,10,15.0,50.0
PDS,0.4,45239,12,15.0,30.0
PDS,0.4,45239,19,15.0,0.0
PDS,0.4,45239,25,15.0,40.0
PDS,0.4,45239,28,25.0,0.0
PDS,0.4,45239,29,45.0,0.0
PDS,0.4,45239,31,15.0,20.0
PDS,0.6,45239,9,35.0,0.0
PDS,0.6,45239,10,5.0,20.0
PDS,0.6,45239,12,5.0,0.0
PDS,0.6,45239,19,5.0,0.0
PDS,0.6,45239,25,5.0,10.0
PDS,0.6,45239,28,5.0,10.0
PDS,0.6,45239,29,5.0,5.0
PDS,0.6,45239,31,15.0,0.0
PDS,0.8,45239,9,15.0,5.0
PDS,0.8,45239,10,5.0,10.0
PDS,0.8,45239,12,5.0,0.0
PDS,0.8,45239,19,0.0,5.0
PDS,0.8,45239,25,0.0,0.0
PDS,0.8,45239,28,5.0,50.0
PDS,0.8,45239,29,0.0,0.0
PDS,0.8,45239,31,5.0,30.0
PDS,0.2,52411,9,45.0,0.0
PDS,0.2,52411,10,30.0,0.0
PDS,0.2,52411,12,65.0,0.0
PDS,0.2,52411,19,95.0,0.0
PDS,0.2,52411,25,100.0,0.0
PDS,0.2,52411,28,45.0,50.0
PDS,0.2,52411,29,45.0,0.0
PDS,0.2,52411,31,50.0,0.0
PDS,0.4,52411,9,10.0,0.0
PDS,0.4,52411,10,5.0,65.0
PDS,0.4,52411,12,0.0,0.0
PDS,0.4,52411,19,50.0,0.0
PDS,0.4,52411,25,5.0,0.0
PDS,0.4,52411,28,50.0,75.0
PDS,0.4,52411,29,10.0,0.0
PDS,0.4,52411,31,10.0,50.0
PDS,0.6,52411,9,5.0,50.0
PDS,0.6,52411,10,5.0,0.0
PDS,0.6,52411,12,5.0,0.0
PDS,0.6,52411,19,5.0,0.0
PDS,0.6,52411,25,5.0,0.0
PDS,0.6,52411,28,0.0,0.0
PDS,0.6,52411,29,5.0,0.0
